Threads,lf_xeon,lf_xeon_std,lf_i7,lf_i7_std,lf_xp,lf_xp_std
1,131.8,3.56371,125.6,0.547723,1284.4,9.91464
20,733.8,24.1599,534.8,12.9692,1260.8,33.3871
40,1404.4,69.2445,956.4,22.6009,1283.6,42.6181
60,2075.8,70.3754,1403,28.7924,1319,25.8167
80,2805.2,121.18,1872,13.1149,1384.2,21.3237
100,3497.2,161.036,2300.4,16.9056,1483.2,62.054
120,4138.2,146.934,2771,14.2653,1524.4,27.1164
140,4985.2,204.34,3215.4,30.6806,1608.2,34.7304
160,5517,203.756,3672.6,30.4516,1712.4,73.0945
180,6234.4,270.019,4144.2,18.4445,1769.4,20.8878
200,6765.2,21.8335,4524.2,75.6551,1869.8,55.6884
220,7453.4,9.68504,5019.4,14.3979,1935,29.4024
240,8375.6,366.871,5483.6,30.8107,1994,42.8544
