Threads,	std,std_std,	tbb,		tbb_std,	lb,		lb_std,	lf,		lf_std
1,		11,		0.707107,	11,	0,			15,		0,			16.2,		0.447214
20,	1209.6,	64.2441,	346.4,	12.9151,	1851.8,	57.1113,	597.6,	8.23408
40,	2953.2,	138.682,	657,		15.4785,	4086.4,	184.419,	1127.6,	12.1778
60,	4664,		36.4692,	974.2,	17.1668,	6492.6,	51.4665,	1753.6,	5.31977
80,	6539.6,	69.68,	1322.6,	10.9225,	9207.8,	176.868,	2391.4,	13.8311
100,	8587.2,	214.503,	1671.2,	20.6204,	10685.6,	318.507,	3302.6,	24.8556
120,	9692.8,	190.254,	2077.8,	24.611,	13608,	446.272,	3439.4,	7.4364
140,	12088.4,	321.822,	2495.2,	23.403,	16705.6,	549.67,	4100.4,	22.7002
160,	14748.6,	750.718,	2962.8,	30.6137,	17894.6,	506.86,	4866.2,	15.7067
180,	16647.6,	121.218,	3435,		13.1719,	20745.2,	361.597,	5265.6,	20.8519
200,	18417.4,	847.316,	3909.2,	32.4761,	22592.8,	332.981,	5705.4,	28.9275
220,	20763.6,	239.54,	4430.8,	43.7801,	24676.4,	162.397,	6599.6,	23.0065
240,	23890.2,	309.761,	4951,		17.1318,	28535.6,	130.9,	7226,		51.50728104
