Threads,		std,		std_std,	tbb,		tbb_std,	lb,		lb_std,	lf,		lf_std
1,				3.8,		0.447214,4.6,		0.547723,4,			0,			3.2,		0.447214
20,			2250.6,	120.043,	856.8,	31.523,	1538.2,	30.6056,	852.4,	2.40832
40,			5130.2,	222.575,	1804.8,	36.4376,	3822.2,	20.7292,	2195.8,	13.8456
60,			8032,		104.712,	2716.2,	50.2364,	5625.4,	100.019,	5939.6,	10.139
80,			10802.6,	245.661,	3901.6,	69.8627,	6948.2,	182.779,	6483.6,	33.3287
100,			14221,	467.528,	4915.4,	63.3822,	8102.4,	631.304,	8900.4,	30.1131
120,			16495.2,	374.962,	6187,		67.7643,	11233.6,	92.1808,	9084,		48.9081
140,			19252,	301.318,	7732.8,	86.1203,	11158.2,	212.729,	11255,	115.657
160,			23721.6,	199.823,	9158,		73.2973,	14376,	401.984,	13500.8,	70.2759
180,			27004.8,	1187.23,	10609.2,	75.1512,	15634,	624.256,	13569.6,	60.5252
200,			28450.8,	300.728,	12324.8,	79.5154,	17686,	470.758,	16472.4,	84.7544
220,			32536.8,	734.628,	14002.8,	59.8013,	20072.2,	320.779,	18176.4,	80.1424
240,			36349.2,	657.225,	15705.8,	87.0098,	19187.2,	128.245,	19986.6,	232.105
