Threads,	std,		std_std,	tbb,		tbb_std,	lb,		lb_std,	lf,		lf_std
1,			8.8,		1.30384,	9.2,		0.447214,19.6,		0.547726,21.8,		0.447214
20,		998.4,	31.6986,	202,		1.58114,	2752,		59.6615,	1160.8,	12.091
40,		1940,		59.6196,	357.8,	9.75705,	6597.6,	275.966,	2321.6,	29.4924
60,		3105.8,	56.716,	506,		8.15475,	10872,	119.023,	3698.8,	20.5597
80,		4142.4,	19.0604,	663.6,	14.5705,	15010.4,	257.446,	5120.6,	11.5888
100,		4822.4,	14.7071,	824.2,	18.7537,	19127.4,	262.474,	6346,		58.826
120,		5978.8,	83.709,	1015.2,	17.225,	24068.6,	352.16,	7411.8,	23.1884
140,		7043.6,	93.4655,	1184.6,	25.8902,	27416.8,	162.927,	8693,		28.3284
160,		8011.4,	139.656,	1376.4,	38.9397,	31710,	224.29,	10186.8,	18.7803
180,		8258.2,	311.521,	1589.6,	52.6051,	36889,	320.013,	11224.6,	14.3108
200,		9877,		29.3513,	1818.4,	85.351,	44226.6,	544.651,	12919.2,	48.8948
220,		9977,		407.736,	2060.6,	135.059,	46572.4,	1003.98,	13896.8,	58.8192
240,		11176.2,	310.195,	2322.6,	130.401,	56260,	1438.12,	15697,	25.1893
